Type,Token,Log(Probability)
Negative,schumacher,3.99854609395
Negative,8mm,3.92983334387
Negative,werewolf,3.91213134214
Negative,magoo,3.85768355811
Negative,jakob,3.85768355811
Negative,jawbreaker,3.80110002975
Negative,hudson,3.74220634069
Negative,insulting,3.61667545861
Negative,chuckle,3.61667545861
Negative,ludicrous,3.57228133925
Negative,wrestling,3.47917193486
Negative,uninvolving,3.47917193486
Negative,dalmatians,3.47917193486
Negative,idiotic,3.43026233438
Negative,godzilla,3.42027824581
Negative,alicia,3.27272105739
Negative,sammy,3.24470668122
Negative,nonsense,3.21613752903
Negative,charlies,3.15724383997
Negative,martian,3.15724383997
Negative,simmons,3.15724383997
Negative,illogical,3.15724383997
Negative,hewitt,3.09584329531
Negative,phillippe,3.09584329531
Negative,darryl,3.06413443558
Negative,buster,3.06413443558
Negative,turkey,3.06413443558
Negative,stupidity,3.06413443558
Negative,nasa,3.03171295789
Negative,inept,2.96459876203
Negative,julian,2.96459876203
Negative,macleane,2.96459876203
Negative,robbins,2.92277858634
Negative,wcw,2.91213134214
Negative,metro,2.91213134214
Negative,gadget,2.89420943414
Negative,garofalo,2.89420943414
Negative,dune,2.89420943414
Negative,powder,2.89420943414
Negative,kombat,2.89420943414
Negative,yards,2.85768355811
Negative,claw,2.85768355811
Negative,fairness,2.85768355811
Negative,rabid,2.85768355811
Negative,spawn,2.85768355811
Negative,compensate,2.85768355811
Negative,bothered,2.85768355811
Negative,reborn,2.85768355811
Negative,sloppy,2.85768355811
Negative,avengers,2.85768355811
Negative,coma,2.85768355811
Negative,predator,2.85768355811
Negative,zetajones,2.8202088527
Negative,generate,2.8202088527
Negative,azaria,2.8202088527
Negative,flubber,2.78951205547
Negative,undercover,2.74220634069
Negative,fares,2.74220634069
Negative,comet,2.74220634069
Negative,entrapment,2.74220634069
Negative,mcgowan,2.74220634069
Negative,corky,2.74220634069
Negative,mccabe,2.74220634069
Negative,unimaginative,2.74220634069
Negative,preston,2.74220634069
Negative,farley,2.74220634069
Negative,excruciatingly,2.74220634069
Negative,poison,2.74220634069
Negative,milton,2.74220634069
Negative,jimmie,2.74220634069
