Type,Token,Log(Probability)
Positive,mulan,5.1465369082
Positive,flynt,4.82003608353
Positive,lebowski,4.20030816464
Positive,religion,3.93021900128
Positive,anna,3.84275616003
Positive,damon,3.77349349759
Positive,crowe,3.70073715515
Positive,jude,3.70073715515
Positive,cauldron,3.65011108208
Positive,outstanding,3.57067661459
Positive,frequency,3.54319587817
Positive,obiwan,3.4866123498
Positive,margaret,3.4866123498
Positive,winslet,3.42771866075
Positive,bulworth,3.34525650056
Positive,nello,3.30218777866
Positive,africans,3.23507358281
Positive,pleasantville,3.23507358281
Positive,jedi,3.19325340711
Positive,vulnerable,3.16468425491
Positive,amistad,3.16468425491
Positive,benigni,3.09068367347
Positive,animators,3.09068367347
Positive,egoyan,3.09068367347
Positive,hatred,3.09068367347
Positive,kenobi,3.09068367347
Positive,fascination,3.01268116147
Positive,siege,3.01268116147
Positive,fidelity,3.01268116147
Positive,darker,3.01268116147
Positive,offbeat,3.01268116147
Positive,avoids,3.01268116147
Positive,astounding,3.01268116147
Positive,elliot,3.01268116147
Positive,cinque,2.93021900128
Positive,wen,2.93021900128
Positive,mamet,2.93021900128
Positive,poker,2.93021900128
Positive,jerome,2.93021900128
Positive,truman,2.90688649745
Positive,altman,2.90164984908
Positive,hamlet,2.90164984908
Positive,affecting,2.84275616003
Positive,bening,2.84275616003
Positive,mpaa,2.84275616003
Positive,christof,2.84275616003
Positive,goodfellas,2.84275616003
Positive,neo,2.84275616003
Positive,tracy,2.84275616003
Positive,kermit,2.84275616003
Positive,flawless,2.79695247041
Positive,boiler,2.78135561536
Positive,edition,2.78135561536
Positive,rico,2.74964675563
Positive,doubts,2.74964675563
Positive,lester,2.74964675563
Positive,butthead,2.74964675563
Positive,jules,2.74964675563
Positive,nosferatu,2.74964675563
Positive,magnificent,2.74964675563
Positive,naval,2.74964675563
Positive,chad,2.71722527794
Positive,finest,2.69075306658
Positive,bonnie,2.65011108208
Positive,strengths,2.65011108208
Positive,lang,2.65011108208
Positive,palpable,2.65011108208
Positive,revolutionary,2.65011108208
Positive,represent,2.65011108208
Positive,iron,2.65011108208
Positive,supreme,2.65011108208
Positive,phillip,2.65011108208
Positive,redford,2.65011108208
Positive,uplifting,2.65011108208
Positive,vader,2.65011108208
Positive,sliding,2.65011108208
Positive,beau,2.65011108208
Positive,election,2.65011108208
Positive,scorsese,2.60829090639
Positive,october,2.57972175419
Positive,denzel,2.57972175419
Positive,bowfinger,2.57972175419
Positive,mib,2.57972175419
Positive,rushmore,2.57972175419
Positive,tad,2.57972175419
Positive,tarantinos,2.57972175419
Positive,jesus,2.5652221845
Positive,sacrificing,2.54319587817
Positive,studies,2.54319587817
Positive,vega,2.54319587817
Positive,detract,2.54319587817
Positive,taxi,2.54319587817
Positive,gaining,2.54319587817
Positive,poignant,2.54319587817
Positive,neal,2.54319587817
Positive,finchers,2.54319587817
Positive,courage,2.54319587817
Positive,annual,2.54319587817
Positive,elise,2.54319587817
Positive,seamless,2.54319587817
Positive,lucinda,2.54319587817
Positive,trainspotting,2.54319587817
Positive,fiona,2.54319587817
Positive,daphne,2.54319587817
Positive,moody,2.54319587817
Positive,era,2.515181502
Positive,dazzling,2.50572117275
Positive,dramas,2.50572117275
Positive,gripping,2.50572117275
Positive,hereafter,2.4866123498
Positive,beautifully,2.47502437553
Positive,wonderfully,2.47502437553
Positive,cousins,2.42771866075
Positive,nixon,2.42771866075
Positive,breakthrough,2.42771866075
Positive,grasshoppers,2.42771866075
Positive,jordans,2.42771866075
Positive,hoot,2.42771866075
Positive,email,2.42771866075
Positive,swinton,2.42771866075
Positive,gump,2.42771866075
Positive,waking,2.42771866075
Positive,collins,2.42771866075
Positive,judges,2.42771866075
Positive,mesmerizing,2.42771866075
Positive,unwittingly,2.42771866075
Positive,spencer,2.42771866075
Positive,embodies,2.42771866075
Positive,boyle,2.42771866075
Positive,weaknesses,2.42771866075
Positive,jinn,2.42771866075
Positive,hounsou,2.42771866075
Positive,lucas,2.4034711145
Positive,fu,2.38707667625
Positive,kung,2.38707667625
Positive,robocop,2.38707667625
Positive,derek,2.38707667625
Positive,castle,2.37880906027
Positive,effortlessly,2.34525650056
Positive,sings,2.34525650056
Positive,strongest,2.34525650056
Positive,gladiator,2.34525650056
Positive,lore,2.30218777866
Positive,republic,2.30218777866
Positive,deft,2.30218777866
Positive,atom,2.30218777866
Positive,slip,2.30218777866
Positive,abby,2.30218777866
Positive,bessons,2.30218777866
Positive,labeled,2.30218777866
Positive,pearce,2.30218777866
Positive,addresses,2.30218777866
Positive,naboo,2.30218777866
Positive,weakness,2.30218777866
Positive,narrates,2.30218777866
Positive,treasure,2.30218777866
Positive,quietly,2.30218777866
Positive,widescreen,2.30218777866
Positive,conveys,2.30218777866
Positive,virgil,2.30218777866
Positive,simpsons,2.30218777866
Positive,glam,2.30218777866
Positive,simplicity,2.30218777866
Positive,cleverly,2.30218777866
Positive,artsy,2.30218777866
Positive,titanic,2.2875410027
Positive,spielbergs,2.2757155673
Positive,hurricane,2.2757155673
Positive,captures,2.2757155673
Positive,quigon,2.25779365931
Positive,winter,2.25779365931
Positive,beavis,2.25779365931
Positive,performed,2.25779365931
Positive,mixing,2.25779365931
Positive,anger,2.25779365931
Positive,concentration,2.25779365931
Positive,chronicles,2.25779365931
Positive,carlitos,2.25779365931
Positive,warns,2.25779365931
Positive,juliet,2.25779365931
Positive,ripley,2.2487485197
Positive,egypt,2.23507358281
Positive,imaginative,2.23507358281
Positive,maintains,2.23507358281
Positive,emperor,2.22126778328
Positive,fabric,2.16468425491
Positive,rousing,2.16468425491
Positive,videotape,2.16468425491
Positive,cunning,2.16468425491
Positive,mall,2.16468425491
Positive,testament,2.16468425491
Positive,pals,2.16468425491
Positive,anakin,2.16468425491
Positive,mills,2.16468425491
Positive,tarzans,2.16468425491
Positive,denial,2.16468425491
Positive,flynn,2.16468425491
Positive,preacher,2.16468425491
Positive,lad,2.16468425491
Positive,julianne,2.16468425491
Positive,prayer,2.16468425491
Positive,stark,2.16468425491
Positive,feelgood,2.16468425491
Positive,pies,2.16468425491
Positive,segments,2.16468425491
Positive,rudys,2.16468425491
Positive,branaghs,2.16468425491
Positive,invading,2.16468425491
Positive,moulin,2.16468425491
Positive,coppolas,2.16468425491
Positive,coen,2.16468425491
Positive,skarsgard,2.16468425491
Positive,christ,2.16468425491
Positive,dedication,2.16468425491
Positive,debate,2.16468425491
Positive,homosexuality,2.16468425491
Positive,reminder,2.16468425491
Positive,recalls,2.16468425491
Positive,discussed,2.16468425491
Positive,elmore,2.16468425491
Positive,moss,2.16468425491
Positive,patriot,2.16468425491
Positive,smitten,2.16468425491
Positive,understatement,2.16468425491
Positive,supports,2.16468425491
Positive,hysteria,2.16468425491
Positive,fairy,2.12815837889
Positive,toy,2.1256901233
Positive,antz,2.12286407922
Positive,legal,2.10579056586
Positive,revolution,2.09068367347
Positive,fishburne,2.09068367347
Positive,lola,2.09068367347
Positive,lesser,2.09068367347
Positive,weir,2.09068367347
Positive,traveling,2.09068367347
Positive,depicted,2.09068367347
Positive,fits,2.07979535733
Positive,shall,2.06514858136
Positive,lowkey,2.06514858136
Positive,ants,2.06514858136
Positive,understands,2.06514858136
Positive,admits,2.06514858136
Positive,entrance,2.06514858136
Positive,manipulation,2.06514858136
Positive,dewey,2.06514858136
Positive,hawke,2.06514858136
Positive,submarine,2.06514858136
Positive,complaints,2.06514858136
Positive,presidents,2.06514858136
Positive,hustler,2.06514858136
Positive,favreau,2.06514858136
Positive,everyday,2.0443900212
Positive,empire,2.0443900212
Positive,prisoners,2.03540123797
Positive,cameron,2.02862270534
Positive,rocky,2.02495949125
Positive,shocks,2.01268116147
Positive,plantation,2.01268116147
Positive,overwhelmed,2.01268116147
Positive,integrity,2.01268116147
Positive,1930s,2.01268116147
Positive,refreshingly,2.01268116147
Positive,observed,2.01268116147
Positive,birds,2.01268116147
Positive,january,2.01268116147
Positive,thai,2.01268116147
Positive,peck,2.01268116147
Positive,import,2.01268116147
Positive,scum,2.01268116147
Positive,doubted,2.01268116147
Positive,elias,2.01268116147
Positive,thematically,2.01268116147
