Type,Token,Log(Probability)
Positive,raining,-16.6971114626
Positive,yellow,-16.0190395575
Positive,four,-12.291119103
Positive,gag,-15.2116846355
Positive,woods,-13.8897565406
Positive,boogie,-13.4644507059
Positive,hanging,-14.6971114626
Positive,woody,-12.8095861919
Positive,childers,-18.0190395575
Positive,comically,-16.2116846355
Positive,gabrielle,-16.2116846355
Positive,conjure,-16.2116846355
Positive,wiseguys,-16.4340770568
Positive,brodericks,-18.0190395575
Positive,unanswered,-17.0190395575
Positive,originality,-14.6971114626
Positive,superficially,-16.4340770568
Positive,tingle,-17.4340770568
Positive,lori,-16.4340770568
Positive,rickman,-16.2116846355
Positive,lord,-13.4043297134
Positive,immature,-16.4340770568
Positive,sinking,-15.0190395575
Positive,delpy,-18.0190395575
Positive,stallone,-15.0190395575
Positive,levy,-15.8491145561
Positive,fargo,-14.3185998394
Positive,foul,-16.6971114626
Positive,stabbed,-18.0190395575
Positive,bringing,-13.3751833678
Positive,basics,-16.6971114626
Positive,liaisons,-18.0190395575
Positive,prize,-15.8491145561
Positive,wooden,-15.0190395575
Positive,demmes,-16.6971114626
Positive,solid,-12.5760960617
Positive,crotch,-17.0190395575
Positive,succession,-17.4340770568
Positive,stereotypical,-15.3185998394
Positive,reliable,-16.2116846355
Positive,annie,-13.9746454382
Positive,tired,-14.6971114626
Positive,miller,-14.1121489619
Positive,bacon,-14.6267221348
Positive,frederick,-16.6971114626
Positive,pulse,-16.4340770568
Positive,elegant,-15.6971114626
Positive,actionthriller,-16.0190395575
Positive,valiant,-16.6971114626
Positive,sterile,-17.4340770568
Positive,loathing,-16.0190395575
Positive,quite,-10.6614875529
Positive,hilariously,-15.4340770568
Positive,errors,-17.4340770568
Positive,roddy,-18.0190395575
Positive,ruthless,-15.2116846355
Positive,thunder,-17.0190395575
Positive,cooking,-16.2116846355
Positive,contributed,-16.6971114626
Positive,fingers,-15.5596079389
Positive,aggression,-16.4340770568
Positive,designing,-16.6971114626
Positive,saddled,-17.0190395575
Positive,increasing,-15.8491145561
Positive,succumb,-17.0190395575
Positive,shocks,-15.8491145561
Positive,specialist,-16.4340770568
Positive,hero,-12.4340770568
Positive,reporter,-14.6971114626
Positive,collette,-16.2116846355
Positive,here,-10.3116804255
Positive,1997s,-16.2116846355
Positive,china,-14.1121489619
Positive,cult,-13.7711120441
Positive,shandling,-16.6971114626
Positive,dorn,-15.8491145561
Positive,wiseguy,-16.6971114626
Positive,borrowers,-16.0190395575
Positive,kids,-11.6971114626
Positive,uplifting,-14.6267221348
Positive,elaborate,-14.4954776015
Positive,reports,-15.1121489619
Positive,controversy,-15.6971114626
Positive,military,-14.0190395575
Positive,gavin,-16.0190395575
Positive,criticism,-14.6971114626
Positive,appropriately,-14.2641520554
Positive,magically,-17.0190395575
Positive,secluded,-17.0190395575
Positive,explained,-14.7711120441
Positive,replace,-16.2116846355
Positive,psychological,-14.1610585624
Positive,stern,-15.3185998394
Positive,involvement,-15.4340770568
Positive,cocaine,-16.4340770568
Positive,unit,-16.4340770568
Positive,opponents,-16.4340770568
Positive,cheating,-15.3185998394
Positive,dna,-16.0190395575
Positive,spoke,-16.4340770568
Positive,quintessential,-16.4340770568
Positive,catchy,-14.9315767163
Positive,insecurity,-17.0190395575
Positive,symphony,-16.4340770568
Positive,music,-11.2574883251
Positive,therefore,-13.7711120441
Positive,strike,-13.7336373387
Positive,until,-11.3047940399
Positive,playboy,-16.2116846355
Positive,females,-16.6971114626
Positive,holy,-15.8491145561
Positive,relax,-16.6971114626
Positive,successful,-12.5596079389
Positive,brings,-12.3751833678
Positive,yahoo,-18.0190395575
Positive,quigon,-15.0190395575
Positive,lore,-15.5596079389
Positive,holm,-15.4340770568
Positive,tying,-16.4340770568
Positive,midst,-15.5596079389
Positive,hold,-13.4954776015
Positive,hoffmans,-16.6971114626
Positive,circumstances,-14.2116846355
Positive,morally,-17.0190395575
Positive,locked,-15.4340770568
Positive,pursue,-15.8491145561
Positive,famed,-15.8491145561
Positive,blade,-13.3751833678
Positive,wade,-16.6971114626
Positive,locker,-16.2116846355
Positive,maximilian,-18.0190395575
Positive,gershon,-17.0190395575
Positive,example,-12.148674838
Positive,griffin,-17.4340770568
Positive,wang,-16.2116846355
Positive,household,-15.2116846355
Positive,organized,-15.2116846355
Positive,charlton,-17.0190395575
Positive,caution,-16.2116846355
Positive,reviewing,-16.4340770568
Positive,want,-11.2979403688
Positive,jabba,-15.8491145561
Positive,labutes,-16.4340770568
Positive,absolute,-14.6267221348
Positive,complaining,-16.2116846355
Positive,travel,-13.8897565406
Positive,copious,-17.4340770568
Positive,comedians,-18.0190395575
Positive,machine,-13.6267221348
Positive,how,-9.84411387503
Positive,hot,-13.6267221348
Positive,ellis,-15.5596079389
Positive,hos,-17.0190395575
Positive,hop,-16.0190395575
Positive,significance,-15.3185998394
Positive,winslow,-16.4340770568
Positive,shrug,-16.6971114626
Positive,ronnie,-16.0190395575
Positive,beauty,-12.790220867
Positive,dinosaurs,-15.0190395575
Positive,modest,-16.4340770568
Positive,quips,-16.6971114626
Positive,destined,-14.6267221348
Positive,chums,-16.2116846355
Positive,types,-14.6267221348
Positive,effective,-12.1363965082
Positive,wins,-14.6971114626
Positive,attracts,-16.4340770568
Positive,seduce,-16.0190395575
Positive,headquarters,-16.6971114626
Positive,subplots,-14.8491145561
Positive,sickening,-18.0190395575
Positive,baggage,-17.0190395575
Positive,18th,-17.0190395575
Positive,perpetrator,-17.4340770568
Positive,democratic,-16.2116846355
Positive,hellbent,-18.0190395575
Positive,wing,-15.3185998394
Positive,wind,-14.4954776015
Positive,leisurely,-16.0190395575
Positive,sprawling,-16.4340770568
Positive,dreamed,-16.6971114626
Positive,sidekicks,-17.0190395575
Positive,rewarded,-16.4340770568
Positive,owens,-16.0190395575
Positive,wrought,-16.6971114626
Positive,admirably,-15.5596079389
Positive,wickedly,-16.6971114626
Positive,reprises,-17.0190395575
Positive,fit,-13.9746454382
Positive,screaming,-15.3185998394
Positive,fix,-15.8491145561
Positive,stevens,-16.6971114626
Positive,shawshank,-17.0190395575
Positive,survivors,-14.4340770568
Positive,hidden,-13.6614875529
Positive,looks,-11.8897565406
Positive,admirable,-15.2116846355
Positive,easier,-14.9315767163
Positive,zucker,-17.0190395575
Positive,selleck,-17.4340770568
Positive,lambert,-18.0190395575
Positive,elementary,-17.4340770568
Positive,wasteland,-17.4340770568
Positive,detachment,-17.4340770568
Positive,effects,-11.0824016185
Positive,mongkut,-16.4340770568
Positive,uttering,-17.0190395575
Positive,multidimensional,-16.4340770568
Positive,sixteen,-17.0190395575
Positive,silver,-14.6267221348
Positive,saddened,-16.6971114626
Positive,scholar,-17.4340770568
Positive,represents,-14.9315767163
Positive,lillian,-15.6971114626
Positive,debut,-13.6267221348
Positive,barton,-16.6971114626
Positive,dumps,-17.0190395575
Positive,arrow,-15.3185998394
Positive,addicted,-17.0190395575
Positive,volcano,-15.2116846355
Positive,preceded,-16.2116846355
Positive,trickery,-16.6971114626
Positive,financial,-15.1121489619
Positive,snakes,-16.4340770568
Positive,archetypes,-16.4340770568
Positive,series,-11.3116804255
Positive,allan,-17.0190395575
Positive,whiz,-16.2116846355
